"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17","0.1uF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","17",""
"C18,C19","1000uF","~","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","2",""
"C20,C21,C22","10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","3",""
"D1,D2,D4","LED","~","LED_THT:LED_D5.0mm","3",""
"D3","1N5822","~","Diode_THT:D_DO-27_P15.24mm_Horizontal","1",""
"H1,H2,H3,H4","MountingHole","~","MountingHole:MountingHole_3.2mm_M3_Pad","4",""
"HS1","Heatsink","~","Heatsink:Heatsink_Stonecold_HS-S02_13.21x9.53mm","1",""
"J1","Conn_01x08","~","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"J2","Conn_02x09_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x09_P2.54mm_Vertical","1",""
"J3,J4","Conn_01x06","~","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Horizontal","2",""
"J5","Barrel_Jack_MountingPin","~","Connector_BarrelJack:BarrelJack_Horizontal","1",""
"J6,J7,J10","Conn_02x03_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","3",""
"J8","Conn_02x20_Odd_Even","~","Connector_IDC:IDC-Header_2x20_P2.54mm_Vertical","1",""
"J9","Conn_02x10_Odd_Even","~","Connector_IDC:IDC-Header_2x10_P2.54mm_Vertical","1",""
"L1","100uH","~","Inductor_THT:L_Radial_D10.0mm_P5.00mm_Fastron_07M","1",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,R19","4k7","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","18",""
"R15,R20,R23","1k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","3",""
"R21,R22","10k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2",""
"SW1","SW_Push","~","Button_Switch_THT:SW_PUSH_6mm_H5mm","1",""
"U1","MC68008","","Package_LCC:PLCC-52_THT-Socket","1",""
"U2","74HC595","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf","Package_DIP:DIP-16_W7.62mm","1",""
"U3,U4,U5","ATF22V10C","","Package_DIP:DIP-24_W7.62mm","3",""
"U6,U7,U8,U9,U10,U11,U12","AS6C4008-55PCN","https://www.alliancememory.com/wp-content/uploads/pdf/AS6C4008.pdf","Package_DIP:DIP-32_W15.24mm","7",""
"U13","SST39SF040","","Socket:DIP_Socket-32_W11.9_W12.7_W15.24_W17.78_W18.5_3M_232-1285-00-0602J","1",""
"U14","XR68C681","","Package_LCC:PLCC-44_THT-Socket","1",""
"U15","LM2576T-5","http://www.ti.com/lit/ds/symlink/lm2576.pdf","Package_TO_SOT_THT:TO-220-5_Vertical","1",""
"U16","NE555P","http://www.ti.com/lit/ds/symlink/ne555.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"U17","AP1084","","Package_TO_SOT_SMD:TO-252-2","1",""
"X1,X2","CXO_DIP14","http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf","Oscillator:Oscillator_DIP-14","2",""
